# Frequency (Hz), Impedance (Ohm), Phase (degree) 
1.0, 0.0012566370515139087, 1.5706706630894145
1.3103448275862069, 0.0016466278512824882, 1.5706316640090243
1.6206896551724137, 0.002036618643537859, 1.5705926649291349
1.9310344827586208, 0.002426609426500578, 1.570553665849865
2.2413793103448274, 0.0028166001983911996, 1.5705146667713334
2.5517241379310347, 0.003206590957430284, 1.5704756676936584
2.8620689655172415, 0.003596581701838386, 1.5704366686169589
3.1724137931034484, 0.003986572429836063, 1.5703976695413535
3.4827586206896552, 0.004376563139643873, 1.5703586704669605
3.793103448275862, 0.004766553829482374, 1.570319671393899
4.103448275862069, 0.005156544497572124, 1.5702806723222873
4.413793103448276, 0.0055465351421336824, 1.5702416732522442
4.724137931034483, 0.005936525761387612, 1.5702026741838884
5.0344827586206895, 0.006326516353554463, 1.5701636751173382
5.344827586206897, 0.006716506916854811, 1.5701246760527126
5.655172413793103, 0.007106497449509206, 1.57008567699013
5.9655172413793105, 0.007496487949738214, 1.570046677929709
6.275862068965518, 0.007886478415762397, 1.5700076788715684
6.586206896551724, 0.00827646884580232, 1.5699686798158268
6.8965517241379315, 0.00866645923807855, 1.5699296807626026
7.206896551724138, 0.009056449590811642, 1.5698906817120148
7.517241379310345, 0.009446439902222176, 1.5698516826641817
7.827586206896552, 0.00983643017053071, 1.5698126836192223
8.137931034482758, 0.010226420393957816, 1.5697736845772547
8.448275862068966, 0.010616410570724061, 1.569734685538398
8.758620689655173, 0.011006400699050017, 1.5696956865027707
9.068965517241379, 0.011396390777156255, 1.5696566874704914
9.379310344827587, 0.011786380803263347, 1.5696176884416786
9.689655172413794, 0.012176370775591866, 1.569578689416451
10.0, 0.012566360692362388, 1.5695396903949272
